time;graph;no_vertices;no_edges;no_tests;block_size;nvgraph;CPU;n_squared;serial_atomic_one_phase;serial_atomic;serial_atomic_dd;serial_atomic_add;serial_scan;serial_scan_dd;serial_scan_add;serial_half_scan;serial_half_scan_dd;serial_half_scan_add;warp_atomic_one_phase;warp_atomic;warp_atomic_dd;warp_atomic_add;warp_scan;warp_scan_dd;warp_scan_add;warp_half_scan;warp_half_scan_dd;warp_half_scan_add;CTA;CTA_dd;CTA_add;warp_boosted;warp_boosted_dd;warp_boosted_add;
1574435043;kkt_power;2063494;16260686;1;256;137.211;3288;638.878;207.162;281.289;420.616;211.33;4284.68;4176.46;2087.61;905.764;1294.05;423.119;2326.02;706.299;783.269;681.802;4932.45;4962.81;2505.31;1900.16;2557.51;840.863;2718.98;3712.55;944.979;563.784;743.572;365.88;
1574439881;coPapersCiteseer;434102;32073440;10;256;202.231;755.2;287.732;410.119;335.71;410.434;275.784;4262.49;4406.22;3551.79;457.836;558.227;325.768;592.386;362.023;385.433;362.578;4382.74;4493.61;3621.93;608.388;739.169;397.098;0;0;0;340.975;414.46;257.416;
1574523299;coPapersCiteseer;434102;32073440;10;512;197.999;702.7;289.145;412.516;341.552;418.792;278.656;0;0;0;687.158;838.9;447.936;592.777;350.938;375.044;350.071;0;0;0;857.235;1043.82;527.87;0;0;0;350.771;420.208;261.205;
1574525376;kkt_power;2063494;16260686;10;512;134.089;3221.9;656.455;225.738;301.829;429.17;212.717;12846.8;11970.7;4580.62;1797.2;2415.13;755.032;2327.66;705.199;797.596;682.03;13899.6;12941.3;5024.82;3021.37;4009.2;1199.39;4881.31;6485.25;1630.48;584.351;745.589;355.149;
1574529247;kkt_power;2063494;16260686;1;256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4904.95;0;0;0;0;0;0;0;0;0;0;0;
1574529467;kkt_power;2063494;16260686;1;256;134.778;669;175.228;128.694;221.315;229.957;142.391;298.582;314.053;158.826;249.464;264.494;129.511;1.6843e+07;137.1;146.708;138.016;0;0;0;0;0;0;202.262;224.348;122.75;195.431;210.793;134.076;
1574530396;kkt_power;2063494;16260686;1;256;134.871;661;174.183;135.369;220.326;229;143.242;295.459;314.757;155.94;245.801;260.681;132.679;1.6843e+07;143.085;146.018;136.699;0;0;0;0;0;0;202.873;222.76;117.447;192.49;209.83;133.587;
1574530555;kkt_power;2063494;16260686;1;256;134.423;652;173.801;129.853;222.983;228.833;141.547;294.529;313.999;152.567;243.852;265.362;129.507;135.355;137.031;147.136;138.332;0;0;0;0;0;0;202.95;221.87;117.06;192.639;207.752;130.207;
1574530788;kkt_power;2063494;16260686;1;256;134.956;655;174.541;132.116;221.721;230.633;141.98;296.024;315.151;157.983;244.809;265.074;132.782;1.6843e+07;138.547;146.713;137.259;0;0;0;0;0;0;205.931;218.705;124.058;193.082;207.288;131.459;
1574530841;kkt_power;2063494;16260686;1;256;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6843e+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
